dossard;time
5676;1558892143965
66;1559070109766
7676;1559070115701
2323;1560681988739
4444;1560681990907
12;1560684520979
000;1560690125626
2323;1560690130739
2323;1560690557927
2323;1560690559854
4444;1560690563233
1111;1560690663783
4444;1560690665677
4444;1560690752830
4242;1560690754066
3434;1560691803818
4343;1560692417624
4343;1560692821425
4;1560692824576
2;1560692851511
4444;1560692853854
1;1560692931626
1;1560693020303
1;1560693122910
2323;1560693228135
3333;1560693230150
3;1560693234509
4344;1560693353974
2;1560693419045
2;1560693442503
4;1560693449901
3;1560693472718
2332;1560693475100
4343;1560693512343
1111;1560693513972
2;1560693515213
1;1560693516871
2;1560693680125
2;1560693692189
2322;1560694961325
2;1560694966157
4;1560695027581
3;1560695029685
22;1560695550524
3;1560695551739
2;1560695715872
2;1560695797253
2;1560696938933
3;1560697056811
2;1560697170854
4;1560697923742
4343;1560697928201
3;1560697982577
2;1560698648219
3;1560698719659
2;1560698722050
4;1560698902184
44;1560698904781
5;1560698909328
2;1560698995872
2;1560699392708
3333;1560699428423
4;1560699429839
3232;1560699991249
2;1560700100167
5;1560701048489
4242;1560703113032
4242;1560703124240
4242;1560704638853
4434;1560704641478
322;1560704898925
2222;1560727285084
1111;1560727370988
2;1560727552789
43;1560727653638
43;1560727654238
43;1560727655213
43;1560727655555
434;1560727656802
2222;1560727779194
4322;1560727779777
43;1560727780143
1;1560728046732
2;1560728047814
3;1560728049162
4;1560728152435
5;1560728154089
44;1560728223233
33;1560728224539
1;1560728497012
2;1560728498513
2;1560729025657
2;1560729466637
7;1560729479980
5;1560729480461
23;1560729564896
43;1560729786366
2;1560729787476
42;1560729846934
4;1560729847501
6;1560729848294
43;1560765611993
432;1560765613990
23;1560765722523
111;1560765724039
2222;1560765924006
1;1560765925113
3433;1560766153068
